COUNTY,NAME,Total Population,Population Under 18,Population Age 20-64,Population Age 62 and over,Population Age 65 and over,Median Age,Population of one Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and other Pacific Islander Alone,Some Other Race Alone,Population of Two or more Races,Hispanic or Latino,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,Total Households,Family Households,Family Households With own children under 18,Husband-Wife Family,Husband-Wife Family With own children under 18,"Male householder, no wife present","Male householder, no wife present With own children under 18","Female householder, no husband present","Female householder, no husband present With own children under 18",Non-Family Households,Average Household Size,Average Family Size,Total Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units
,Pennsylvania,12702379,2792155,7563682,2390028,1959307,40.1,12464544,10406288,1377689,26843,349088,3653,300983,237835,719660,129568,366082,17930,206080,11982719,5018904,3261307,1352324,2417765,919067,229495,108679,614047,324578,1757597,2.45,3.02,5018904,3491722,1527182
001,Adams County,101407,22438,59744,19679,15954,41.3,100063,94979,1561,213,746,20,2544,1344,6115,4570,832,74,639,95292,38013,27594,10855,22314,7995,1798,945,3482,1915,10419,2.56,2.97,38013,29368,8645
003,Allegheny County,1223348,241663,741975,246288,205059,41.3,1200749,997295,161861,1702,34090,278,5523,22599,19070,6892,3880,971,7327,1204278,533960,308009,123389,222332,81706,20406,8559,65271,33124,225951,2.23,2.91,533960,345393,188567
005,Armstrong County,68941,14189,40532,15284,12687,44.5,68413,67565,553,45,150,9,91,528,366,137,70,4,155,68575,28713,19294,7070,15252,5057,1363,661,2679,1352,9419,2.38,2.88,28713,21668,7045
007,Beaver County,170539,34878,99720,37884,31660,44.4,167585,155561,10676,181,724,40,403,2954,1998,946,364,51,637,168541,71383,47156,17613,35282,11694,3211,1428,8663,4491,24227,2.34,2.88,71383,52335,19048
009,Bedford County,49762,10739,28467,11335,9476,43.9,49361,48782,238,75,101,14,151,401,450,170,108,19,153,49312,20233,14251,5262,11628,3906,956,514,1667,842,5982,2.43,2.9,20233,15882,4351
011,Berks County,411442,98136,240023,73216,59558,39.1,401190,342148,20143,1285,5385,128,32101,10252,67355,10890,36333,772,19360,344087,154356,106532,46425,80417,31499,7651,3959,18464,10967,47824,2.59,3.08,154356,110653,43703
013,Blair County,127089,26878,73277,27224,22527,42,125542,122238,2129,143,706,29,297,1547,1230,468,314,59,389,125859,52159,33570,13275,25023,8712,2442,1282,6105,3281,18589,2.37,2.91,52159,36653,15506
015,Bradford County,62622,14238,35803,13608,11152,43.4,61976,61035,311,154,339,7,130,646,702,211,246,22,223,61920,25321,17303,6731,13595,4622,1284,736,2424,1373,8018,2.45,2.92,25321,18801,6520
017,Bucks County,625249,143514,376167,113136,91219,42,614867,557647,22376,1232,24008,174,9430,10382,26782,6867,10397,946,8572,598467,234849,168665,72345,136531,57401,9635,4248,22499,10696,66184,2.63,3.11,234849,181013,53836
