SPUD_DATE,API,OGO_NUM,OPERATOR,REGION,COUNTY,MUNICIPALITY,FARM_NAME,WELL_CODE_DESC,WELL_STATUS,LATITUDE,LONGITUDE,CONFIGURATION,UNCONVENTIONAL
5/24/2002,125-22033,OGO-49020,BELDEN & BLAKE CORP,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,ANDERSON UNIT 1,GAS,Active,40.464666,-80.477888,Vertical Well,Yes
5/31/2003,125-22074,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,RENZ 1,GAS,Active,40.283161,-80.284025,Vertical Well,Yes
6/14/2003,063-33347,OGO-38958,XTO ENERGY INC,EP DOGO SWDO Dstr Off,Indiana,Grant Twp,LEONARD MUMAU 2,GAS,Active,40.805625,-78.939934,Vertical Well,Yes
8/27/2003,129-25004,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Westmoreland,South Huntingdon Twp,HEPLER CALVIN 1,COMB. OIL&GAS,Regulatory Inactive Status,40.158995,-79.701812,Vertical Well,Yes
9/6/2003,129-25012,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Westmoreland,South Huntingdon Twp,STAHL E 1,COMB. OIL&GAS,Active,40.156023,-79.723396,Vertical Well,Yes
2/27/2004,129-25209,OGO-33810,GREAT OAK ENERGY INC,EP DOGO SWDO Dstr Off,Westmoreland,Salem Twp,EXPORT FUEL 1,GAS,Active,40.435439,-79.584499,Vertical Well,Yes
9/2/2004,111-20254,OGO-38958,XTO ENERGY INC,EP DOGO SWDO Dstr Off,Somerset,Upper Turkeyfoot Twp,LARRY VOUGH 1,GAS,Active,39.90508,-79.278799,Vertical Well,Yes
4/26/2005,129-25570,OGO-39223,MIEKA LLC,EP DOGO SWDO Dstr Off,Westmoreland,Hempfield Twp,SCHIMIZZI S&M 1,GAS,Active,40.327894,-79.488102,Vertical Well,Yes
6/6/2005,015-20051,OGO-63815,TALISMAN ENERGY USA INC,EP DOGO NCDO Dstr Off,Bradford,Wells Twp,BAYLES 1,GAS,Regulatory Inactive Status,41.955498,-76.860808,Vertical Well,Yes
6/18/2005,125-22088,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DEISEROTH 1,GAS,Active,40.280022,-80.291997,Vertical Well,Yes
7/13/2005,125-22205,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,RENZ 2,COMB. OIL&GAS,Active,40.276911,-80.286303,Vertical Well,Yes
7/28/2005,125-22212,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 1,COMB. OIL&GAS,Plugged OG Well,40.275861,-80.307888,Vertical Well,Yes
11/27/2005,047-23579,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,REETZ 1691,GAS,Regulatory Inactive Status,41.570395,-78.616798,Vertical Well,Yes
12/5/2005,125-22261,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 3,COMB. OIL&GAS,Active,40.272722,-80.314388,Vertical Well,Yes
12/9/2005,125-22238,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,DEISEROTH 2,COMB. OIL&GAS,Active,40.284467,-80.291858,Vertical Well,Yes
1/20/2006,125-22258,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CARTER 1,COMB. OIL&GAS,Plugged OG Well,40.306689,-80.318166,Vertical Well,Yes
2/13/2006,125-22252,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 1,COMB. OIL&GAS,Active,40.268912,-80.371139,Vertical Well,Yes
2/20/2006,125-22259,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 5H,GAS,Plugged OG Well,40.283134,-80.302942,Horizontal Well,Yes
2/22/2006,005-28066,OGO-17647,SNYDER BROS INC,EP DOGO SWDO Dstr Off,Armstrong,West Franklin Twp,MILLIGAN-SNYDER UNIT 3,GAS,Active,40.837693,-79.687642,Vertical Well,Yes
3/6/2006,019-21405,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Clay Twp,EDMOND WOZNIAK ET UX 1,GAS,Active,40.963514,-79.948428,Vertical Well,Yes
4/6/2006,125-22264,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 2,COMB. OIL&GAS,Active,40.265388,-80.366222,Vertical Well,Yes
4/10/2006,059-23659,OGO-33798,ENERGY CORP OF AMER,EP DOGO SWDO Dstr Off,Greene,Cumberland Twp,PHILLIPPI 2,GAS,Active,39.898301,-80.017237,Vertical Well,Yes
4/17/2006,125-22265,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 3,COMB. OIL&GAS,Active,40.270245,-80.377306,Horizontal Well,Yes
4/27/2006,125-22283,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ROMANETTI UNIT 2,COMB. OIL&GAS,Plugged OG Well,40.252328,-80.353277,Vertical Well,Yes
5/2/2006,125-22300,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,GULLA UNIT 6,COMB. OIL&GAS,Active,40.272439,-80.313192,Vertical Well,Yes
5/26/2006,005-28706,OGO-36838,CAMPBELL OIL & GAS INC,EP DOGO SWDO Dstr Off,Armstrong,East Franklin Twp,A J STOREY 1,GAS,Active,40.854547,-79.60313,Vertical Well,Yes
6/19/2006,125-22366,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ALEXANDER UNIT 1H,COMB. OIL&GAS,Plugged OG Well,40.287944,-80.314166,Horizontal Well,Yes
6/27/2006,019-21423,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Clay Twp,EDMOND A WOZNIAK ET UX 2,GAS,Active,40.960848,-79.948595,Vertical Well,Yes
7/15/2006,125-22317,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,EBERLE 1,COMB. OIL&GAS,Active,40.262884,-80.330637,Vertical Well,Yes
8/14/2006,125-22401,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,NISHNICK 1,GAS,Active,40.285884,-80.321193,Vertical Well,Yes
8/21/2006,125-22348,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,STARVAGGI INDUSTRIES INC B2,GAS,Regulatory Inactive Status,40.409011,-80.475213,Vertical Well,Yes
8/25/2006,083-51202,OGO-63430,M & M ROYALTY LTD,EP DOGO NWDO Dstr Off,McKean,Liberty Twp,MANTZ 6,GAS,Active,41.779184,-78.272091,Vertical Well,Yes
8/31/2006,125-22410,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Independence Twp,MOLNAR UNIT 1,GAS,Active,40.260333,-80.503138,Vertical Well,Yes
9/1/2006,125-22391,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Hanover Twp,STARVAGGI INDUSTRIES INC C-3,GAS,Regulatory Inactive Status,40.400726,-80.489836,Vertical Well,Yes
9/6/2006,047-23782,OGO-67805,SWEPI LP,EP DOGO NWDO Dstr Off,Elk,Jones Twp,REETZ 1921,GAS,Active,41.573489,-78.618457,Vertical Well,Yes
9/22/2006,125-22277,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,ROMANETTI UNIT 1,COMB. OIL&GAS,Plugged OG Well,40.258773,-80.359888,Vertical Well,Yes
9/22/2006,015-20062,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Bradford,Ridgebury Twp,DUFFEY UNIT 1,COMB. OIL&GAS,Plugged OG Well,41.952313,-76.659666,Vertical Well,Yes
9/25/2006,115-20007,OGO-10897,CABOT OIL & GAS CORP,EP DOGO NCDO Dstr Off,Susquehanna,Springville Twp,TEEL 1,GAS,Active,41.713152,-75.877926,Vertical Well,Yes
10/6/2006,125-22415,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 3,COMB. OIL&GAS,Plugged OG Well,40.276689,-80.354305,Vertical Well,Yes
10/12/2006,015-20064,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO NCDO Dstr Off,Bradford,Ridgebury Twp,TRUSSO UNIT 1,COMB. OIL&GAS,Plugged OG Well,41.978248,-76.638759,Vertical Well,Yes
10/13/2006,083-51038,OGO-63430,M & M ROYALTY LTD,EP DOGO NWDO Dstr Off,McKean,Norwich Twp,BLACK STONE 53,GAS,Active,41.755254,-78.411263,Vertical Well,Yes
10/17/2006,019-21421,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Buffalo Twp,JOHN OBRINGER ET UX 1,GAS,Active,40.678731,-79.750586,Vertical Well,Yes
10/19/2006,125-22420,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 1,GAS,Plugged OG Well,40.26805,-80.347638,Vertical Well,Yes
10/27/2006,051-23451,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Springhill Twp,RICH FARMS 7,GAS,Active,39.769508,-79.802347,Horizontal Well,Yes
11/13/2006,051-23452,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Fayette,Washington Twp,ORR 28,GAS,Active,40.115393,-79.795545,Vertical Well,Yes
11/17/2006,005-28666,OGO-2239,DOMINION TRANS INC,EP DOGO SWDO Dstr Off,Armstrong,South Bend Twp,MATTHEW MILLER 2,GAS,Active,40.646667,-79.386925,Vertical Well,Yes
11/29/2006,125-22414,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 2A,COMB. OIL&GAS,Plugged OG Well,40.275134,-80.342943,Vertical Well,Yes
12/12/2006,125-22433,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 4,GAS,Plugged OG Well,40.271217,-80.353499,Vertical Well,Yes
12/14/2006,117-20185,OGO-63640,ULTRA RESOURCES INC,EP DOGO NCDO Dstr Off,Tioga,Gaines Twp,MARSHLANDS UNIT 3,GAS,Active,41.698977,-77.548429,Vertical Well,Yes
12/22/2006,125-22495,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,OHIO VALLEY LBC UNIT 6,COMB. OIL&GAS,Plugged OG Well,40.274356,-80.34886,Vertical Well,Yes
12/26/2006,059-24036,OGO-66455,ATLAS RESOURCES LLC,EP DOGO SWDO Dstr Off,Greene,Cumberland Twp,HEADLEE 6,GAS,Active,39.908954,-79.951979,Vertical Well,Yes
1/5/2007,019-21438,OGO-38958,XTO ENERGY INC,EP DOGO NWDO Dstr Off,Butler,Connoquenessing Twp,STEVEN LESNEY ET UX 1,GAS,Active,40.881535,-79.980124,Vertical Well,Yes
1/10/2007,125-22508,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Mount Pleasant Twp,CLINGERMAN-THOMAS UNIT 1A,GAS,Active,40.250967,-80.324304,Vertical Well,Yes
1/17/2007,125-22440,OGO-60915,RANGE RESOURCES APPALACHIA LLC,EP DOGO SWDO Dstr Off,Washington,Cross Creek Twp,CHRISTMAN UNIT 4,COMB. OIL&GAS,Active,40.260662,-80.375972,Vertical Well,Yes
